Frequency,Attenuation,INFO1,INFO2
1151174244.24425,-61.935212042103,,
1156179219.21922,-55.549459481829,,
1161184194.1942,-67.8385351630808,,
1166189169.16917,-49.2451782725369,,
1171194144.14414,-49.724859511234,,
1176199119.11912,-63.3742608213743,,
1181204094.09409,-51.2938007203048,,
1186209069.06907,-51.3239391176676,,
1191214044.04404,-49.0460565980753,,
1196219019.01902,-55.8640258275589,,
1201223993.99399,-48.3238344214152,,
1206228968.96897,-53.2938466291011,,
1211233943.94394,-49.7999799712032,,
1216238918.91892,-50.8601792436893,,
1221243893.89389,-62.1307965183493,,
1226248868.86887,-59.9265120743668,,
1231253843.84384,-53.2769270540761,,
1236258818.81882,-57.3519323012819,,
1241263793.79379,-50.0873512844138,,
1246268768.76877,-53.646885297019,,
1251273743.74374,-49.6474932760066,,
1256278718.71872,-51.2820156417683,,
1261283693.69369,-60.1315207093009,,
1266288668.66867,-61.1809276997698,,
1271293643.64364,-52.4889843168357,,
1276298618.61862,-69.1076578951324,,
1281303593.59359,-55.4594831026995,,
1286308568.56857,-49.2281925500684,,
1291313543.54354,-56.8996202029527,,
1296318518.51852,-56.9852233943983,,
1301323493.49349,-55.5284987335369,,
1306328468.46847,-57.6133017226654,,
1311333443.44344,-56.8056008206573,,
1316338418.41842,-54.1954517192955,,
1321343393.39339,-48.9866516131945,,
1326348368.36837,-57.4479778224925,,
1331353343.34334,-64.4317314787888,,
1336358318.31832,-63.5754409936312,,
1341363293.29329,-59.8172366629459,,
1346368268.26827,-52.3383885156556,,
1351373243.24324,-51.2468171426833,,
1356378218.21821,-49.2478568533581,,
1361383193.19319,-48.9215464916394,,
1366388168.16816,-60.0177958498438,,
1371393143.14314,-52.8620166193234,,
1376398118.11811,-61.9175583310215,,
1381403093.09309,-54.986952609252,,
1386408068.06806,-55.1538647262919,,
1391413043.04304,-64.5609684330683,,
1396418018.01801,-66.4444067012992,,
1401422992.99299,-55.9358666304239,,
1406427967.96796,-56.1216962499697,,
1411432942.94294,-61.8114648124068,,
1416437917.91791,-53.9794848745222,,
1421442892.89289,-60.7626216818328,,
