Frequency,Attenuation,! FILETYPE CSV,
30000,-62.5309242797712,! VERSION 1.0,1
960985195.195198,-49.0116256221635,,
965990170.170173,-50.3995120907417,,
970995145.145148,-52.5375884391165,,
976000120.120123,-53.138375625959,,
981005095.095098,-53.8683166166291,,
986010070.070073,-57.4469274780251,,
991015045.045048,-64.0452390923266,,
996020020.020023,-52.3044955121441,,
1001024994.995,-47.5420993996338,,
1006029969.96997,-45.2036934487144,,
1011034944.94495,-43.8827056049609,,
1016039919.91992,-44.527133448514,,
1021044894.8949,-48.9335855944542,,
1026049869.86987,-49.768522886232,,
1031054844.84485,-43.3987243407619,,
1036059819.81982,-39.4220817222006,,
1041064794.7948,-36.2131992029401,,
1046069769.76977,-33.3692574821083,,
1051074744.74475,-32.1496109333312,,
1056079719.71972,-33.2919142359936,,
1061084694.6947,-35.9337186918789,,
1066089669.66967,-37.4261840907528,,
1071094644.64465,-36.3587160581334,,
1076099619.61962,-35.1323746077447,,
1081104594.5946,-34.7644199316386,,
1086109569.56957,-35.489060026917,,
1091114544.54455,-37.62320250214,,
1096119519.51952,-40.7334635546421,,
1101124494.4945,-43.8233506530518,,
1106129469.46947,-45.4042857741579,,
1111134444.44445,-46.5580942967429,,
1116139419.41942,-48.6740669556676,,
1121144394.3944,-52.513342856284,,
1126149369.36937,-59.7372721348273,,
1131154344.34435,-54.4559484048586,,
1136159319.31932,-47.3688201321658,,
1141164294.2943,-43.6259984095017,,
1146169269.26927,-41.4333926558897,,
1151174244.24425,-40.1383905961628,,
1156179219.21922,-39.4892044049398,,
1161184194.1942,-39.6655357292549,,
1166189169.16917,-41.1663968450674,,
1171194144.14414,-44.702237989688,,
1176199119.11912,-50.5384951625778,,
1181204094.09409,-57.25184960344,,
1186209069.06907,-53.9632091999024,,
1191214044.04404,-50.5371568795961,,
1196219019.01902,-49.4248864737743,,
1201223993.99399,-50.1069071446311,,
1206228968.96897,-51.1006307790756,,
1211233943.94394,-51.2299915106298,,
1216238918.91892,-50.4891801170377,,
1221243893.89389,-49.346118817578,,
1226248868.86887,-48.3691192405284,,
1231253843.84384,-48.0176940457477,,
1236258818.81882,-48.3610895290537,,
1241263793.79379,-49.0634501473433,,
1246268768.76877,-49.8795933333511,,
1251273743.74374,-51.5600290749526,,
1256278718.71872,-55.7470643192749,,
1261283693.69369,-52.8098524077632,,
1266288668.66867,-46.7497063310015,,
1271293643.64364,-43.7945015219149,,
1276298618.61862,-42.4613037211143,,
1281303593.59359,-41.7581394310953,,
1286308568.56857,-41.130642323366,,
1291313543.54354,-40.7449835348416,,
1296318518.51852,-41.3042305593149,,
1301323493.49349,-43.2788696121675,,
1306328468.46847,-45.2269429970586,,
1311333443.44344,-45.8844762066305,,
1316338418.41842,-45.6925232804007,,
1321343393.39339,-44.8278811530327,,
1326348368.36837,-43.2446847452921,,
1331353343.34334,-41.3529251893518,,
1336358318.31832,-40.3712520941734,,
1341363293.29329,-40.5428325484281,,
1346368268.26827,-40.9956323040377,,
1351373243.24324,-41.0992070180154,,
1356378218.21821,-40.3348570495071,,
1361383193.19319,-38.7620119537042,,
1366388168.16816,-37.3395608488632,,
1371393143.14314,-36.6299501943259,,
1376398118.11811,-37.13156063151,,
1381403093.09309,-39.0337460693342,,
1386408068.06806,-41.8746378442263,,
1391413043.04304,-43.8059823804262,,
1396418018.01801,-43.0976885831535,,
1401422992.99299,-40.4329525940109,,
1406427967.96796,-37.8541466714455,,
1411432942.94294,-35.8874430202741,,
1416437917.91791,-34.4256233794451,,
1421442892.89289,-33.5735240733892,,
1426447867.86786,-33.4527583954078,,
1431452842.84284,-34.0123694774717,,
1436457817.81781,-35.2445243146921,,
1441462792.79279,-37.2730451065795,,
1446467767.76776,-39.2054225533319,,
1451472742.74274,-38.8565366327798,,
1456477717.71771,-37.1127726366393,,
1461482692.69269,-35.852747795023,,
1466487667.66766,-35.4242759961929,,
1471492642.64264,-35.8898510214375,,
1476497617.61761,-37.0831344682936,,
1481502592.59259,-38.804205402126,,
1486507567.56756,-41.5917497699115,,
1491512542.54254,-44.8471796902652,,
1496517517.51751,-43.9587056636594,,
1501522492.49249,-42.1966924570954,,
1506527467.46746,-41.9349162637281,,
1511532442.44244,-42.3313349257149,,
1516537417.41741,-42.8633264520647,,
1521542392.39239,-43.4066393033993,,
1526547367.36736,-43.7366324769084,,
1531552342.34234,-43.3988454093525,,
1536557317.31731,-42.9420249449086,,
1541562292.29229,-43.2900250902882,,
1546567267.26726,-43.9783149436857,,
1551572242.24223,-44.3741248904469,,
1556577217.21721,-44.3701460834939,,
1561582192.19218,-44.3569242522338,,
1566587167.16716,-44.9879636030235,,
1571592142.14213,-47.3768247417061,,
1576597117.11711,-51.9766407606801,,
1581602092.09208,-56.1090132328662,,
1586607067.06706,-57.8698421588927,,
1591612042.04203,-59.5737331567634,,
